Certificate Number,Business Name,DBA Name,Business Type,Business is MWBE Owned,Business is Publicly Traded,Business Officers,Address,Address 2,City,State,Zip Code,Phone,Issued Date,Expiration Date,Status,Business has a NYS DOL Employer Registration Number,Reason business does not have a NYS DOL Employer Registration Number ,Business has a WCB Employer Number,Business has outstanding wage assessments,Business has been debarred,Debarment State or Federal Law,Debarment State,Debarment Start Date,Debarment End Date,Business has final determination for violation of Labor or Tax Law,Business has final determination safety standard violations,Business is associated with an apprenticeship program,Business is sponsor of a program ,Business is signatory to a group program,Business has Workers Compensation Insurance,Business is exempt from Workers Compensation Insurance ,Georeference
24-64NX5-CR,"Core Climate Systems, LLC",,LLC,No,No,,664 E MAIN ST,,Malone,NY,12953,5185213176,12/17/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.27365 44.85077)
25-64OTS-CR,"Core Down Drilling, LLC","Core Down Drilling, LLC",Corporation,No,No,,PO Box 763,,Brewster,NY,10509,8458034347,01/21/2025,01/21/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
25-64Q78-CR,Core Electric & Communication Corp.,Core Electric and Communication Corp,Corporation,Yes,No,,40 MARBLE LOOP,SUITE G,Staten Island,NY,10309,3478856717,01/15/2025,01/15/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.23956 40.53719)
24-63HTG-CR,"CORE ELECTRIC MEP INDUSTRIES, LLC",,LLC,Yes,No,,21515 NORTHERN BLVD STE 304,,BAYSIDE,NY,11361,3475423222,12/05/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.76701 40.76106)
25-64V7Q-CR,Core & Main LP,,LLP,No,Yes,"Core & Main Intermediate GP, LLC  xxxxx, Core & Main Midco, LLC  xxxx",1830 Craig Park Ct,,St. Louis,NY,63146,3144324700,01/08/2025,01/08/2027,Active,Yes,,Yes,No,No,,,,,No,Yes,No,No,No,Yes,No,POINT (-90.44172 38.69223)
25-64CKZ-CR,Coreslab Structures (CONN) Inc.,Coreslab Structures (CONN) Inc.,Corporation,No,No,,1023 Waterbury Rd,,Thomaston,CT,06787,8602838281,01/09/2025,01/09/2027,Active,Yes,,No,No,No,,,,,No,No,No,No,No,No,Yes,POINT (-73.07731 41.63677)
25-64XPV-CR,"Cornell Storefront Systems, Inc.",Clopay National Accounts,Corporation,No,Yes,"Dan  Broda, Victor  Weldon, Rick  Williams, Lauretta  O'Hara, Kevin  Yakubowski, Seth  Kaplan, Brian G. Harris, Edward M. Shin, Laura  Grunzinger","140 Maffet Street, Suite 200",,Wilkes Barre,PA,18705,8008826773,01/16/2025,01/16/2027,Active,No,Out of State,No,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.85591 41.27117)
25-64O4P-CR,"Cornerstone Commissioning, LLC",,LLC,No,No,,PO Box 156,,Boxford,MA,01921,9788878177,01/22/2025,01/22/2027,Active,No,Out of State,No,No,No,,,,,No,No,No,No,No,Yes,No,
24-6348O-CR,"CORNERSTONE PAVING, INC.",,Corporation,No,No,,5820 Phyllis Dr,,east syracuse,NY,13057,3154880505,11/29/2024,11/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-76.066 43.05051)
24-64BDN-CR,Corona Industries Corp.,,Corporation,Yes,No,,265 Pennsylvania Ave,,Hillside,NJ,07205,7184186048,12/14/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.22392 40.69302)
24-639K6-CR,Corporate Electric Group Inc.,,Corporation,No,No,,73 Third Street,,New Rochelle,NY,10801,7188868400,12/11/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-73.79538 40.90972)
24-636JZ-CR,CORPORATE FLOORING INNOVATIONS INC.,,Corporation,No,No,,7307 South Lake Road,,Bergen,NY,14416,5854946013,12/10/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-77.95796 43.05792)
25-64ANJ-CR,Cortland Pump LLC,,Corporation,No,No,,694 Lake Como Rd,,Cortland,NY,13045,6077564253,02/12/2025,02/12/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-76.28385 42.65151)
24-64FQZ-CR,Cory J McGovern,McGovern's Welding,Sole Proprietorship,No,No,,3087 Fish Creek Road,,Constableville,NY,13325,3155271944,12/23/2024,12/29/2026,Active,No,Sole Proprietor,No,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.48986 43.56331)
24-64GQA-CR,Corzo Electrical Systems Corp.,,Corporation,No,No,,61-43 186th Street,Suite 415,Fresh Meadows,NY,11365,7183535515,12/24/2024,12/24/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,Yes,Yes,Yes,No,POINT (-73.787632 40.739083)
24-64BYB-CR,Costas Contracting,,Corporation,No,No,,401 SAW MILL RIVER RD,,YONKERS,NY,10701,9149065087,12/13/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.87628 40.95052)
24-63ZA4-CR,"Costello Blacktop Paving, Incorporated",,Corporation,No,No,,1 Technology Blvd,,Canastota,NY,13032,3158753093,11/20/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.7712 43.07182)
24-637OG-CR,Costello Construction Group LLC,DEMTEC,LLC,No,No,,19 Rolling Hills Rd,,Thornwood,NY,10594,5162160597,12/09/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.77414 41.11672)
24-63997-CR,Cotton's Concrete Construction,Cotton's Concrete Construction,Corporation,No,No,,604 Gateway Industrial Park Rd.,,Athens,PA,18810,5708884723,12/12/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-76.52752 41.93859)
25-64CU4-CR,Coucouks LLC,Love It Renovations,Corporation,No,No,,300 East 48th Street,,Brooklyn,NY,11203,3477636471,01/09/2025,01/09/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.93265 40.6547)
24-64BQ3-CR,"Country Side Sand & Gravel, Inc.",,Corporation,No,No,,13870 Taylor Hollow Rd,,Collins,NY,14034,7165323371,12/16/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.94095 42.50183)
24-64B8J-CR,"County Energy Controls, Inc.",,Corporation,No,No,,P O Box 780,,east quogue,NY,11942,6316539124,12/15/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,
24-639S5-CR,"County Line Stone Co., Inc.",,Corporation,No,No,,4515 Crittenden Rd,,Akron,NY,14001,7165425435,12/12/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.47812 42.9698)
25-64TS1-CR,COUNTY TREE CARE INC.,,Corporation,No,No,,125 ANDROVETTE STREET,,STATEN ISLAND,NY,10309,7189668000,01/24/2025,01/24/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.24058 40.53541)
25-64C4H-CR,County Wide Flooring Corp,,Corporation,No,No,,91 B Knickerbocker Ave,,Bohemia,NY,11716,6319265754,01/09/2025,01/09/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.08637 40.77304)
25-641CK-CR,Court Street Office Furniture LLC,Court Street Office Furniture,LLC,No,No,,139 11th Street,,Brooklyn,NY,11215,7184993015,01/27/2025,01/27/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.99296 40.67071)
24-635ZZ-CR,"Coverco, Inc.",,Corporation,No,No,,2260 Clinton Street,,Cheektowaga,NY,14206,7167737110,12/04/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.79309 42.87168)
25-64C7F-CR,COW-BAY SPRINKLER CORP.,Cow Bay Contracting,Corporation,No,No,,40 Roselle Street,,Mineola,NY,11501,5168838484,01/10/2025,01/10/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.6364 40.75367)
24-637HC-CR,"Coyle Industries, Inc.",,Corporation,No,No,,1472 Route 82,,Hopewell Junction,NY,12533,8456561824,12/09/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.78013 41.61946)
24-64ND4-CR,"C.P. Perma Paving Construction, INC.",,Corporation,No,No,,81 Industrial Loop,,Staten Island,NY,10309,7183566619,12/17/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.23304 40.55045)
24-633XH-CR,"C.P. Ward, Inc.",,Corporation,No,No,,100 W. River Road PO Box 900,,Scottsville,NY,14546,5858898800,11/26/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,Yes,Yes,No,No,Yes,No,POINT (-77.74377 43.03053)
25-64KBN-CR,Craeco. Inc.,,Corporation,Yes,No,,101 W 55th Street,Apt 14F,New York,NY,10019,3473017292,01/03/2025,01/03/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.97858 40.76321)
24-64YOO-CR,"Crafco, Inc.",,Corporation,No,No,,6165 W Detroit Street,,Chandler,AZ,85226,5188592125,12/13/2024,12/13/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-111.94885 33.30841)
24-64FX9-CR,Craig Construction LLC,Craig construction llc,LLC,No,No,,11 PINEWOOD TRL,,East Aurora,NY,14052,7169137689,12/23/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.58145 42.8043)
24-636OK-CR,"Craig Geotechnical Drilling Co., Inc.",,Corporation,No,No,,PO Box 427,,Mays Landing,NJ,08330,6096254862,12/10/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,
25-64TSX-CR,"Craig Sullivan The Avant Gardener, LLC",,LLC,No,No,,PO Box 1742,,Montclair,NJ,07042,9177749905,01/24/2025,01/24/2027,Active,No,Sole Proprietor,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
25-64JS9-CR,"CRAL Contracting, Inc.",,,No,No,,202 TWIN OAKS DRIVE,,SYRACUSE,NY,13206,3156716006,01/02/2025,01/02/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-76.11257 43.09005)
25-64K7L-CR,"Crane For Higher, Inc.",,Corporation,No,No,,227 Buffalo Ave,,Medford,NY,11763,5162508283,01/06/2025,01/06/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-72.99047 40.81322)
24-633VN-CR,"Crane-Hogan Structural Systems, Inc.",,Corporation,No,No,,3001 Brockport Road,,Spencerport,NY,14559,5853529889,11/25/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-77.80538 43.1858)
25-64Z5B-CR,Cranes Express Inc.,,Corporation,No,No,,3625 Richmond Avenue,,Staten Island,NY,10312,7186059877,02/11/2025,02/11/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.16709 40.54991)
25-64OVD-CR,"Crawford & Associates Engineering & Land Surveying, PC",,Corporation,Yes,No,,1 Hudson City Centre,Suite 300,Hudson,NY,12534,5188282700,01/21/2025,01/21/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.78047 42.24762)
24-6373I-CR,CRC ASSOCIATES INC.,,Corporation,Yes,No,,300 Maple Avenue,Suite 101,South Plainfield,NY,07080,9085618246,12/09/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-74.4112 40.58248)
24-64FO5-CR,"Creamer Environmental, Inc.",,Corporation,No,No,,50 Fairfield Rd,,Fairfield,NJ,07004,2019683300,12/23/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-74.30422 40.8718)
24-63AKE-CR,Creamer Ruberton A Joint Venture,,LLC,No,No,,101 EAST BROADWAY,,HACKENSACK,NJ,07601,2014889800,11/21/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.03662 40.87437)
24-634BK-CR,Crease HVAC Inc.,,Corporation,No,No,,853 West Ave,,Rochester,NY,14611,5859787313,11/27/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-77.66313 43.14941)
24-64BDH-CR,Creative Cabling and Bertram Electric Corp.,Creative Cabling Solutions,Corporation,Yes,No,,20 MADISON AVE,,HICKSVILLE,NY,11801,5168675577,12/14/2024,12/29/2026,Active,Yes,,No,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.50246 40.75275)
24-648EY-CR,CREATIVE CONSTRUCTION SERVICES CORP.,,Corporation,Yes,No,,226-03 Linden Blvd,,Cambria Heights,NY,11411,7185252300,12/27/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.73475 40.69346)
24-64Y3K-CR,Creative Flooring Designs Inc.,,Corporation,Yes,No,,101 Round Lake Ave,Floor 1,MECHANICVILLE,NY,12118,5182655977,12/13/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.69659 42.91087)
25-641JO-CR,"Creative Form Development, LLC","Creative Form Development, LLC",LLC,Yes,No,,"27 E 28th Street,",Suite 235,NEW YORK,NY,10016,3478150696,01/27/2025,01/27/2027,Active,No,Other,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.98533 40.74385)
25-64UEK-CR,"CREATIVE GRAIN, LLC",,LLC,No,No,,169 Franklin Road,,Denville,NJ,07834,8624522954,01/29/2025,01/29/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.49419 40.8878)
24-64JGZ-CR,"Creative Installations, Inc.",,Corporation,No,No,,70 Baiting Place Road,,Farmingdale,NY,11735,6312423085,12/31/2024,12/31/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-73.42439 40.71285)
24-64EFX-CR,"Creative Laminates, Inc.",,Corporation,No,No,,4003 Eastbourne Drive,,Syracuse,NY,13206,3154637580,12/30/2024,12/30/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-76.11103 43.0791)
25-64CSJ-CR,"Creative Landscaping by Cow Bay, Inc.",,Corporation,No,No,,40 Roselle Street,,Mineola,NY,11501,5188838484,01/09/2025,01/09/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.6364 40.75367)
25-64CZS-CR,"CREATIVE SNOW BY COW BAY, INC.",,Corporation,No,No,,40 Roselle Street,,Mineola,NY,11501,5168838484,01/09/2025,01/09/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.6364 40.75367)
25-64KRR-CR,"CREATIVE TOUCH CONSTRUCTION, CORP.",,Corporation,Yes,No,,817 Foster Avenue,,BROOKLYN,NY,11230,3472952925,01/03/2025,01/03/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.96869 40.63135)
25-64SEJ-CR,"CREEN VENTURES, INC.",Clarence Trucking,Corporation,No,No,,1055 Josephs Blvd,,Saugerties,NY,12477,8455321420,02/06/2025,02/06/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.00623 42.07517)
25-64JAN-CR,Crescent Building Services LLC,,LLC,Yes,No,,1116 Main Street,1st Floor,Peekskill,NY,10566,9147889244,01/02/2025,01/02/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.91651 41.29187)
25-64C39-CR,"Crescent Consulting Associates, Inc",,Corporation,Yes,No,,1116 Main Street,1st Floor,Peekskill,NY,10566,9147889244,01/09/2025,01/09/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.91651 41.29187)
24-63HPN-CR,Crescent Contracting Corp.,,Corporation,No,No,,2800 Webster Avenue,,Bronx,NY,10458,7182204200,12/05/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-73.88511 40.86641)
25-64KXS-CR,"Crescent Energy, Inc.",,Corporation,Yes,No,,1116 Main Street,1st Floor,Peekskill,NY,10566,9147889244,01/04/2025,01/04/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.91651 41.29187)
25-64KX9-CR,CRF Concrete Construction Corp.,,Corporation,No,No,,PO Box 514,,East Setauket,NY,11733,6313463551,01/04/2025,01/04/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
24-635OG-CR,"Crisafulli Mechanical, LLC",,LLC,No,No,,25 Industrial Park Rd Suite #102,,Albany,NY,12206,5185401782,12/04/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,Yes,No,Yes,No,POINT (-73.77444 42.67786)
25-64CL8-CR,"Crisdel Group, Inc.",,Corporation,No,No,,220 Ryan Street,,South Plainfield,NJ,07080,9085617550,01/09/2025,01/09/2027,Active,Yes,,Yes,No,No,,,,,No,Yes,No,No,No,Yes,No,POINT (-74.41464 40.55999)
24-63HI7-CR,"Cristo Demolition, Inc.",,Corporation,Yes,No,,PO Box 1636,,Albany,NY,12207,5184636985,12/05/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,Yes,Yes,Yes,No,
25-64XNU-CR,"C.R. Murphy Landscaping, Inc.",,Corporation,No,No,,559 County Route 38,,Parish,NY,13131,3156257333,01/16/2025,01/16/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-76.12831 43.38763)
25-64I57-CR,Cronin Development & Construction Inc.,,Corporation,No,No,,222 Villa Ave,,Buffalo,NY,14216,7166035892,02/05/2025,02/05/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.86113 42.95789)
25-64SER-CR,CROPSEY SCRAP IRON & METAL CORP.,Cropsey Scrap Iron and Metal Corporation,Corporation,No,No,,2994 Cropsey Avenue,,Brooklyn,NY,11214,3476727573,02/06/2025,02/06/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.98609 40.58187)
24-636EO-CR,"Crosby-Brownlie, Inc.",,Corporation,No,No,,100 Nassau Street,,Rochester,NY,14605,5853251290,12/10/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-77.60217 43.16658)
24-63HIV-CR,Cross Island Mechanical Corp.,,Corporation,Yes,No,,40 Broad St.,4th Flr.,New York,NY,10004,6467399223,12/05/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-74.01138 40.7059)
24-64RXH-CR,Crossroads Construction Corp.,,Corporation,No,No,,PO Box 656,,Smithtown,NY,11787,6313663006,12/19/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
24-64FNL-CR,"CROSSROADS JV, LLC",,LLC,Yes,No,,25 CAIN DRIVE,,PLAINVIEW,NY,11803,5166051122,12/20/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,Yes,Yes,Yes,No,POINT (-73.45133 40.7844)
24-64YXO-CR,"Crowley Lightning Protection, Inc.",,Corporation,No,No,,5 Frederick St,,Auburn,NY,13021,3152552872,12/13/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-76.55323 42.92804)
24-64FIR-CR,Crown A/C Heat & Power Corp.,,Corporation,No,No,,36 Wickford Road,,New Rochelle,NY,10801,9145767778,12/23/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.80255 40.92352)
24-648DH-CR,"Crown Sign Systems, Inc.",,Corporation,Yes,No,,2 South Street,,Mount Vernon,NY,10550,9143752118,12/27/2024,12/27/2026,Active,Yes,,Yes,No,No,,,,,No,Yes,No,No,No,Yes,No,POINT (-73.85175 40.90848)
25-64PF7-CR,CROWN WATERPROOFING INC.,,Corporation,No,No,,1 WEST SANDFORD BLVD,,MT VERNON,NY,10550,9146644512,01/10/2025,01/10/2027,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-73.83281 40.89939)
25-6414I-CR,C.R.P PLUMBING & HEATING INC.,C.R.P PLUMBING & HEATING INC.,Corporation,Yes,No,,932 Nostrand Avenue,,Brooklyn,NY,11225,7189404600,01/28/2025,01/28/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.95084 40.66603)
25-64ZSA-CR,"C.R.P. Sanitation, Inc.",CRP SANITATION INC,Corporation,No,No,,2 BAYVIEW ROAD,,CORTLANDT MANOR,NY,10567,9145924129,02/11/2025,02/11/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.94663 41.29802)
24-63H6O-CR,C.R. Wolfe Heating Corp.,,Corporation,No,No,,167 Baker Rd,,Middletown,NY,10941,8453435803,12/06/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.39756 41.49637)
24-636ZX-CR,"CRYSTAL STEEL FABRICATORS, INCORPORATED",,Corporation,Yes,No,,9317 Old Racetrack Road,,Delmar,DE,19940,3028460613,12/11/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.57836 38.46575)
24-64FDV-CR,"C&S Design Build, Inc.",,Corporation,No,No,,499 Col Eileen Collins Blvd.,,Syracuse,NY,13212,3154552000,12/20/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-76.13239 43.11399)
24-648B8-CR,"CSE, Inc.",,Corporation,No,No,,PO BOX 532,,Williston,VT,05495,8028641812,12/26/2024,12/29/2026,Active,No,Out of State,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
25-64VDV-CR,CSG CONTRACTING LLC,,LLC,No,No,,340 Blackheath Road,,Lido Beach,NY,11561,5163591559,01/06/2025,01/06/2027,Active,No,Sole Proprietor,No,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.63734 40.59463)
24-639NP-CR,"CS Masonry, LLC",,LLC,No,No,,3 Woodstone Court,,Danbury,NY,06811,2037535999,12/11/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.50306 41.41735)
25-64JUU-CR,CSM Electric Corp.,,Corporation,No,No,,23-86 48th Street,,ASTORIA,NY,11103,7187772520,01/02/2025,01/02/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.90488 40.7655)
24-63HQR-CR,"CSM Tile Co., Inc.",,Corporation,No,No,,1530 Fyler Rd,,Chittenango,NY,13037,3156875095,12/05/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.89404 43.08868)
24-635GD-CR,"C&S Operations, Inc.",,Corporation,No,No,,499 Col Eileen Collins Blvd.,,Syracuse,NY,13212,3154552000,12/03/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-76.13239 43.11399)
25-64ZGR-CR,"C-Squared Constructors, LLC",,LLC,No,No,,269 Ballard Road,,Wilton,NY,12831,5186649855,02/10/2025,02/10/2027,Active,No,Other,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-73.73067 43.17239)
24-64YZA-CR,"C&S Sweeping, LLC",,LLC,No,No,,PO Box 2406,,Liverpool,NY,13089,3156525444,12/13/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
25-64JU4-CR,C STATES TRUCKING LLC,MR SEPTIC,LLP,No,No,,214 W Academy St,,ALBION,NY,14411,5855896021,01/02/2025,01/02/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.19871 43.24046)
24-634VY-CR,"C&S Technical Resources, Inc.",,Corporation,No,No,,499 Col Eileen Collins Blvd.,,Syracuse,NY,13212,3154552000,11/29/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,Yes,No,No,No,Yes,No,POINT (-76.13239 43.11399)
24-64BE7-CR,CTE INCORPORATED,,Corporation,No,No,,450 WESTBURY AVENUE,,CARLE PLACE,NY,11514,5163268700,12/15/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.60801 40.75043)
25-64K8P-CR,"CTM Electric, Inc.",,Corporation,No,No,,109 E Union Street,,Allegany,NY,14706,7163722687,01/03/2025,01/03/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.48998 42.08527)
24-63355-CR,CUBE CONSTRUCTION SERVICES LLC,,LLC,Yes,No,,167 Main Street,,Woodbridge,NJ,07095,7325294404,11/27/2024,12/29/2026,Active,No,Out of State,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.28375 40.55293)
25-64UJI-CR,CUBEWRIGHT LLC,FINISH WORKS,LLC,No,No,,124 Ingersoll Road,,Saratoga Springs,NY,12866,5186463545,01/29/2025,01/29/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.72527 43.10808)
24-63HIP-CR,Cuenca Coronel Trucking Inc,,Corporation,Yes,No,,109 WABASH AVE,,CLIFTON NJ,NJ,07011,9735833523,12/05/2024,12/29/2026,Active,No,Out of State,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.1474 40.88941)
25-64PPN-CR,Cuevas Construction,,LLC,No,No,,480 Broadway,,Newburgh,NY,12550,8455979183,01/12/2025,01/12/2027,Active,No,Sole Proprietor,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.02992 41.5013)
25-64CEX-CR,Cukalevski Property LLC,,LLC,No,No,,5967 E Pine Grove Rd,,Cicero,NY,13039,3154309856,01/09/2025,01/09/2027,Active,No,Sole Proprietor,No,No,No,,,,,No,No,No,No,No,No,Yes,POINT (-76.1073 43.15368)
25-64ZF4-CR,CULTIVATING BOOKKEEPING LLC,,LLC,No,No,,Cultivating Bookkeeping LLC,8697 Ridge Road,North Rose,NY,14516,3159458290,02/10/2025,02/10/2027,Active,No,Sole Proprietor,No,No,No,,,,,No,No,No,No,No,No,Yes,
25-64K84-CR,"Culver Floor Covering Co., Inc.","Culver Floor Covering Co., Inc.",Corporation,No,No,,778 East E 93rd St,,Brooklyn,NY,11236,7183323434,01/03/2025,01/03/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.91208 40.64913)
25-64OUH-CR,Cummins Inc.,Cummins Sales and Service,Corporation,No,Yes,Corey  Carlson,500 Jackson St.,,Columbus,IN,47201,7819154479,01/21/2025,01/21/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-85.92324 39.20369)
24-648TI-CR,"Cunningham Duct Cleaning Co., Inc.",,Corporation,No,No,,869 Sylvan Avenue,,Bayport,NY,11705,6316656400,12/27/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.04679 40.76508)
