Business Name,DBA Name,Business Type,Business is MWBE Owned,Business is Publicly Traded,Business Officers,Address,Address 2,City,State,Zip Code,Phone,Issued Date,Business has a NYS DOL Employer Registration Number,Reason business does not have a NYS DOL Employer Registration Number,Business has a WCB Employer Number,Business has outstanding wage assessments,Business has been debarred,Debarment State or Federal Law,Debarment State,Debarment Start Date,Debarment End Date,Business has final determination for violation of Labor or Tax Law,Business has final determination safety standard violations,Business is associated with an apprenticeship program,Business is sponsor of a program,Business is signatory to a group program,Business has Workers Compensation Insurance,Business is exempt from Workers Compensation Insurance
CCCONSTRUCTION  REMODELING LLC,NO DBA,LLC,Yes,No,None Listed,362 LEIN RD,NOT APPLICABLE,WEST SENECA,NY,14224,7168184148,1/6/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CC EXCAVATING INC,NO DBA,Corporation,No,No,None Listed,PO BOX 428,NOT APPLICABLE,TANNERSVILLE,NY,12485,5185899002,1/21/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CCI COMPANIES INC,NO DBA,Corporation,No,No,None Listed,PO BOX 186,NOT APPLICABLE,CANASTOTA,NY,13032,3156972547,12/2/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
CC ROOFING CO INC,MCAS ROOFING  CONTRACTING INC,Corporation,No,No,None Listed,2006 ALBANY POST RD,NOT APPLICABLE,CROTON ON HUDSON,NY,10520,9145923427,1/9/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CC UNLIMITED INC,NO DBA,Corporation,No,No,None Listed,PO BOX 1151,NOT APPLICABLE,LATHAM,NY,12110,5187295641,11/19/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CDB PRODUCTIONS LLC,BURTIS CONSULTING GROUP,LLC,Yes,No,None Listed,24 EAST PARK AVE,SUITE 202,LONG BEACH,NY,11561,9172889354,12/27/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CDE AIR CONDITIONING CO INC,NO DBA,Corporation,No,No,None Listed,321 39TH ST,NOT APPLICABLE,BROOKLYN,NY,11232,7187881040,12/3/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
CDE ELECTRIC INC,NO DBA,Corporation,No,No,None Listed,PO BOX 204,NOT APPLICABLE,CAIRO,NY,12413,5186223822,11/27/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CDJ ELECTRIC INC,NO DBA,Corporation,No,No,None Listed,91 BRG RD,NOT APPLICABLE,HAUPPAUGE,NY,11788,6312322958,12/14/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
CDM CONSTRUCTORS INC,NO DBA,Corporation,No,No,None Listed,555 17TH ST,SUITE 500,DENVER,CO,80202,3033832454,1/9/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CD PERRY LLC,NO DBA,LLC,No,No,None Listed,PO BOX 866,NOT APPLICABLE,TROY,NY,12181,5183658132,12/4/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,Yes,No,Yes,Yes,No
CDP EXCAVATING SERVICES LLC,NO DBA,LLC,No,No,None Listed,9192 RIV RD,NOT APPLICABLE,PHOENIX,NY,13135,3154300048,1/3/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
C DRYWALL INC,NO DBA,Corporation,Yes,No,None Listed,155 UNION AVE,NOT APPLICABLE,MOUNT VERNON,NY,10550,3477594972,12/19/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CDT ASSOCIATES LLC,CDT ASSOCIATES LLC,LLC,No,No,None Listed,PO BOX 4002,NOT APPLICABLE,MIDDLETOWN,NY,10941,9147552549,1/9/2025,No,Sole Proprietor,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CEDAR HILL TRUCKING INC,NO DBA,Corporation,No,No,None Listed,1021 RIV RD,NOT APPLICABLE,SELKIRK,NY,12158,5187679608,12/5/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CEDAR PARK GROUP INC,NO DBA,Corporation,Yes,No,None Listed,2 LAWSON AVE,SUITE 11,EAST ROCKAWAY,NY,11518,5165350613,12/20/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CEDRIC CONSTRUCTION CORP,NO DBA,Corporation,No,No,None Listed,2022 HILLSIDE AVE,NOT APPLICABLE,NEW HYDE PARK,NY,11040,5163548855,12/19/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CEDRIC STEVENS INC,NO DBA,Corporation,Yes,No,None Listed,115 BUNGALOW TER,NOT APPLICABLE,SYRACUSE,NY,13207,3153624201,12/18/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
C  E ELECTRIC LLC,NO DBA,LLC,Yes,No,None Listed,52 RHEA CRES,NOT APPLICABLE,ROCHESTER,NY,14615,5853177899,12/17/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CEIA USA LTD,NO DBA,LLC,No,No,None Listed,6336 HUDSON XING PKWY,NOT APPLICABLE,HUDSON,OH,44236,3304053190,1/6/2025,No,Out of State,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CELEBRITIES QUALITY PAINTING INC,CELEBRITIES QUALITY CONSTRUCTION,Corporation,Yes,No,None Listed,40 WEST MOSHOLU PKWY,8F,BRONX,NY,10468,7182138446,12/30/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CELLECTRIC ELECTRICAL LLC,NO DBA,LLC,No,No,None Listed,6615 TOWPATH RD,NOT APPLICABLE,EAST SYRACUSE,NY,13057,3154324657,1/8/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CELTIC INDUSTRIES INC,NO DBA,Corporation,No,No,None Listed,2049 9TH AVE,NOT APPLICABLE,RONKONKOMA,NY,11779,6312771610,12/24/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CELTIC SHEET METAL INC,NO DBA,Corporation,Yes,No,None Listed,1 CORPORATE DR,NOT APPLICABLE,ORANGEBURG,NY,10962,8452673400,12/16/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CENTENNIAL SECURITY INTEGRATION,CSI SECURITY  ELECTRIC INC,Corporation,No,No,None Listed,95 SEAVIEW BLVD,SUITE 202,PORT WASHINGTON,NY,11050,7187281768,12/16/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CENTER FOR SECURITY LLC,NO DBA,LLC,No,No,None Listed,1659 ROUTE 9,NOT APPLICABLE,CLIFTON PARK,NY,12065,5183835329,1/13/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CENTERLINE INTERIORS INC,NO DBA,Corporation,No,No,None Listed,10 STRAN RD,NOT APPLICABLE,MILFORD,CT,6461,2035042465,2/5/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
CENTERLINE TRENCHLESS CONSTRUCTION LLC,NO DBA,LLC,No,No,None Listed,4349 OSWEGO RD,NOT APPLICABLE,BLOSSVALE,NY,13308,3152825377,12/27/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CENTER MANAGEMENT CORP,CENTER MAINTENANCE CO,Corporation,No,No,None Listed,565 KELL PL,NOT APPLICABLE,SEAFORD,NY,11783,5167352200,12/17/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CENTRAL AIR CORPORATION,NO DBA,Corporation,No,No,None Listed,PO BOX 1334,NOT APPLICABLE,ROSLYN HEIGHTS,NY,11577,2123005563,1/22/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CENTRAL CONTRACTING LLC,NO DBA,LLC,No,No,None Listed,797 WALL ST,PO BOX 7,WEST WINFIELD,NY,13491,3158223452,1/28/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CENTRAL INDUSTRIES INC,NO DBA,Corporation,No,No,None Listed,142 GAILMORE DR,NOT APPLICABLE,YONKERS,NY,10710,9147934700,1/2/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,No,No,No,No,Yes,No
CENTRAL JERSEY WRECKING  RECYCLING INC,NO DBA,Corporation,No,No,None Listed,158 FRIENDSHIP RD,NOT APPLICABLE,CRANBURY,NJ,8512,7329401923,1/3/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CENTRAL LATHING LLC,CENTRAL LATHING LLC,LLC,No,No,None Listed,338 JERICHO TPKE SUITE 252,NOT APPLICABLE,SYOSSET,NY,11791,9179752911,1/28/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
CENTRAL MECHANICAL SYSTEMS INC,NO DBA,Corporation,No,No,None Listed,2060 EASTERN PKWY,NOT APPLICABLE,BROOKLYN,NY,11207,7184527700,12/6/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
CENTRAL NEW YORK CONSTRUCTION INC,NO DBA,Corporation,Yes,No,None Listed,8228 STATE ROUTE 28,NOT APPLICABLE,BARNEVELD,NY,13304,3158964605,11/26/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CENTRAL NEW YORK SHEET METAL INC,NO DBA,Corporation,No,No,None Listed,4083 NEW CT AVE,NOT APPLICABLE,SYRACUSE,NY,13206,3154341660,12/27/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CENTRAL PAVING INC,NO DBA,Corporation,No,No,None Listed,4247 ACME RD,NOT APPLICABLE,FRANKFORT,NY,13340,3158943196,12/14/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CENTRAL ROADWAYS INC,CENTRAL ROADWAYS INC,Corporation,No,No,None Listed,590 SALT RD SUITE 5,NOT APPLICABLE,WEBSTER,NY,14580,5852652117,12/10/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CENTRICA BUSINESS SOLUTIONS SERVICES INC,NO DBA,Corporation,No,Yes,"Alexandra  Coleman, Cassandra  Moore",2111 ELLSWORTH BLVD,NOT APPLICABLE,MALTA,NY,12020,5184060720,12/24/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CENTRICAL INC,CENTRAL SERVICES,Corporation,Yes,No,None Listed,65 INDUSTRIAL PARK CIR,NOT APPLICABLE,ROCHESTER,NY,14624,5856633944,1/3/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CENTRON ENTERPRISES LIMITED LIABILITY COMPANY,NO DBA,LLC,Yes,No,None Listed,130 MARKET ST,NOT APPLICABLE,KENILWORTH,NJ,7033,9082458100,12/19/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,Yes,Yes,No
CENTURY GENERAL CONTRACTING INC,NO DBA,Corporation,No,No,None Listed,637 ASHLAND AVE,NOT APPLICABLE,BALDWIN,NY,11510,5167718649,1/16/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CENTURY HEATING  AIR CONDITIONING INC,CENTURY HEATING  AIR CONDITIONING INC,Corporation,No,No,None Listed,220 BOSS RD,NOT APPLICABLE,SYRACUSE,NY,13211,3154140060,1/3/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,No,Yes,No
CERTIFIED INTERIORS INC,NO DBA,Corporation,Yes,No,None Listed,25 ANDREA RD,NOT APPLICABLE,HOLBROOK,NY,11741,6312251300,12/17/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
CERTIFIED LIFT INSTALLATION  MAINTENANCE CORP,NO DBA,Corporation,No,No,None Listed,PO BOX 972,NOT APPLICABLE,YORKTOWN HEIGHTS,NY,10598,9144243479,2/4/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CERTIFIED SAFETY PRODUCTS OF NEW YORK INC,NO DBA,Corporation,Yes,No,None Listed,807 STATE ROUTE 417,NOT APPLICABLE,ANDOVER,NY,14806,6074788467,12/17/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CERTIFIED WATER SMOKE AND FIRE RESTORATION SERVICES LLC,CERTIFIED WSF,LLP,Yes,No,None Listed,PO BOX 708,NOT APPLICABLE,NORTH CHATHAM,NY,12132,5187669595,12/15/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CESAR GOMEZ AGUADO,NO DBA,Corporation,No,No,None Listed,280 FERRIS AVE,NOT APPLICABLE,WHITE PLAINS,NY,10603,9146822979,1/28/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CFE INC,NO DBA,Corporation,No,No,None Listed,35 INDUSTRIAL PARK BLVD,NOT APPLICABLE,ELMIRA,NY,14902,6077345201,11/22/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CF FABRICATORS INC,CF FABRICATORS INC,Corporation,Yes,No,None Listed,320 BARRETTO ST,NOT APPLICABLE,BRONX,NY,10474,7184849540,2/5/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
CFF CONSULTING INC,NO DBA,Corporation,Yes,No,None Listed,70 E 2ND ST,2ND FLOOR,MINEOLA,NY,11501,9175635005,12/17/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CFI CONTRACTING INC,NO DBA,Corporation,No,No,None Listed,286 SACANDAGA RD,NOT APPLICABLE,JOHNSTOWN,NY,12095,5187621378,12/3/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
CFI SALES  SERVICE INC,NO DBA,Corporation,No,No,None Listed,PO BOX 147,NOT APPLICABLE,BRACKNEY,PA,18812,5706632777,1/30/2025,No,Out of State,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CF KAPPUS PUMPS  PLUMBING INC,NO DBA,Corporation,No,No,None Listed,PO BOX 309,NOT APPLICABLE,PUTNAM VALLEY,NY,10579,8455282929,1/15/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
C FRANCIS CONSTRUCTION CORP,NO DBA,Corporation,Yes,No,None Listed,501 EAST 93RD ST,NOT APPLICABLE,BROOKLYN,NY,11212,7184842193,12/23/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CG HOLLISTER CONSTRUCTION LLC,NO DBA,LLC,No,No,None Listed,68 BIGELOW AVE,NOT APPLICABLE,DUNDEE,NY,14837,6072437113,12/11/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHALLENGER CORP,NO DBA,Corporation,Yes,No,None Listed,9425 57TH AVE,STE 7A,ELMHURST,NY,11373,7182717118,12/24/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHAMBERLAIN SEPTIC TANK SERVICE INC,CHAMBERLAIN SEPTIC AND SEWER,Corporation,No,No,None Listed,PO BOX 142,NOT APPLICABLE,UNION HILL,NY,14563,5852650277,2/6/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHAMPION ELEVATOR CORPORATION,CHAMPION ELEVATOR,Unknown,No,No,None Listed,1450 BROADWAY,NOT APPLICABLE,NEW YORK,NY,10018,2147014430,12/26/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,Yes,No,No,Yes,No
CHAMPION METAL  GLASS INC,NO DBA,Corporation,No,No,None Listed,130 MOTOR PKWY,NOT APPLICABLE,HAUPPAUGE,NY,11788,6312542560,2/3/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
CHAMPION PAINTING SPECIALTY SERVICES CORP,NO DBA,Corporation,Yes,No,None Listed,130 SW 22TH ST,NOT APPLICABLE,FORT LAUDERDALE,FL,33315,9544629079,12/19/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHAMPION SECURITY SERVICES INC,NO DBA,Corporation,No,No,None Listed,565 WEST RIV RD,NOT APPLICABLE,WATERLOO,NY,13165,3157199469,12/18/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHANDRA COAKLEY ENTERPRISE LLC,COAKLEY CONSTRUCTION,LLC,Yes,No,None Listed,11114 145TH ST,NOT APPLICABLE,JAMAICA,NY,11435,6462341483,1/2/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHAPMAN  EVANS INC,NO DBA,Corporation,No,No,None Listed,4029 27TH ST,NOT APPLICABLE,LONG ISLAND CITY,NY,11101,7184727433,12/14/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
CHARLES A DIMINO INC,NO DBA,Corporation,No,No,None Listed,2441 BATH AVE,NOT APPLICABLE,BROOKLYN,NY,11214,7182667480,2/7/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHARLES F EVANS CO INC,NO DBA,Corporation,No,No,None Listed,1120 MAGEE ST,NOT APPLICABLE,ELMIRA,NY,14901,6077348151,11/26/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,Yes,Yes,No
CHARLES FRIEDMAN EXCAVATING INC,NO DBA,Corporation,No,No,None Listed,54 NORTH ST,NOT APPLICABLE,HUDSON FALLS,NY,12839,5187479371,12/23/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHARLES PETKUS DBA PETKUS FLOORING,CHARLES PETKUS FLOORING,Corporation,No,No,None Listed,109 HOLLYBROOK RD,NOT APPLICABLE,ROCHESTER,NY,14623,5853295623,1/22/2025,No,Sole Proprietor,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHARLES SIGNS INC,NO DBA,Corporation,Yes,No,None Listed,7856 GOGUEN DR,NOT APPLICABLE,LIVERPOOL,NY,13090,3156524306,1/15/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHARLES T DRISCOLL MASONRY RESTORATION,CHARLES T DRISCOLL MASONRY RESTORATION,Corporation,No,No,None Listed,4562 JORDAN RD,NOT APPLICABLE,SKANEATELES FALLS,NY,13153,3156855792,12/6/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHARNOCKS LAWN SERVICES INC,THE TURF DOCTOR,Corporation,No,No,None Listed,8910 SHERIDAN DR,NOT APPLICABLE,CLARENCE,NY,14031,7166341393,1/21/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHASE BUILDING RENOVATION INC,NO DBA,Corporation,No,No,None Listed,29 W HILLS RD,NOT APPLICABLE,HUNTINGTON STATION,NY,11746,5164301006,12/13/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHATFIELD FARMS LLC,NO DBA,LLC,No,No,None Listed,PO BOX 501,NOT APPLICABLE,ELBRIDGE,NY,13060,3154662162,12/31/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHAUTAUQUA HYDROSEEDING LLC,NO DBA,LLC,No,No,None Listed,5186 MAPLE SPGS ELLERY RD,NOT APPLICABLE,BEMUS POINT,NY,14712,7163867394,1/8/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHAUTAUQUA MECHANICAL II LLC,NO DBA,LLC,No,No,None Listed,2587 THIRD AVE,NOT APPLICABLE,FALCONER,NY,14733,7166655938,1/16/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
CHAUTAUQUA SIGN CO INC,NO DBA,Corporation,No,No,None Listed,2164 ALLEN ST EXT,NOT APPLICABLE,FALCONER,NY,14733,7166652222,1/27/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHAUTAUQUA WOOD CORP,NO DBA,Corporation,Yes,No,None Listed,134 FRANKLIN AVE,NOT APPLICABLE,DUNKIRK,NY,14048,7166402921,1/15/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHC CONSTRUCTION GROUP INC,NO DBA,Corporation,Yes,No,None Listed,6581 KINNE RD,BOX 753,DEWITT,NY,13214,3155790423,2/10/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CH CO INC,NO DBA,Corporation,Yes,No,None Listed,1437 30TH RD,NOT APPLICABLE,ASTORIA,NY,11102,9172976546,1/10/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHECKER GLASS CORPORATION,NO DBA,Corporation,No,No,None Listed,5 COMMERCIAL AVE,PO BOX 7242,GARDEN CITY,NY,11530,5162948818,12/5/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
CHEEVER DEVELOPMENT CORP,NO DBA,Corporation,No,No,None Listed,60 SACKETT ST,NOT APPLICABLE,BROOKLYN,NY,11231,7188340770,2/4/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHEFS DEPOT INC,CULINARY DEPOT,Corporation,No,No,None Listed,67 ROUTE 59,NOT APPLICABLE,SPRING VALLEY,NY,10977,8454148200,2/11/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHEMUNG SUPPLY CORPORATION,NO DBA,Corporation,No,No,None Listed,2420 CORNING RD,NOT APPLICABLE,ELMIRA,NY,14903,6077335506,1/3/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHENANGO CONTRACTING INC,NO DBA,Corporation,No,No,None Listed,29 ARBUTUS RD,NOT APPLICABLE,JOHNSON CITY,NY,13790,6077298500,11/18/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHENANGO SPORTS INC,NO DBA,Corporation,No,No,None Listed,29 ARBUTUS RD,NOT APPLICABLE,JOHNSON CITY,NY,13790,6077298500,11/18/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
CHENZ INC,IAL TOTAL SECURITY,Corporation,No,No,None Listed,500 WEST MAIN ST,NOT APPLICABLE,SMITHTOWN,NY,11787,6317242500,1/4/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHEROKEE CONTRACTING INC,NO DBA,Corporation,No,No,None Listed,74 BROOK ST,NOT APPLICABLE,BAY SHORE,NY,11706,6316509603,12/20/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
CHERRY HILL GLASS CO INC,NO DBA,Corporation,No,No,None Listed,20 ELM ST,NOT APPLICABLE,BRANFORD,CT,6405,2034831717,12/4/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
CHESAKL ENTERPRISES INC,NO DBA,Corporation,No,No,None Listed,3099 CROPSEY AVE,NOT APPLICABLE,BROOKLYN,NY,11224,9178215118,1/29/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
