Prime Contract ID,Contract Includes Sub Vendors,Vendor Record Type,Prime Vendor,Prime Vendor M/WBE Category,Prime Contract Purpose, Prime Contract Current Amount , Prime Contract Original Amount , Prime Vendor Spend to Date ,Prime Contract Start Date,Prime Contract End Date,Prime Contract Registration Date,Prime Woman Owned Business,Prime Emerging Business,Prime Contracting Agency,OCA Number,Prime Contract Version,FMS Document/Parent Contract ID,Prime Contract Type,Prime Contract Award Method,Prime Contract Expense Category,Prime Contract Industry,Prime Contract PIN,Prime Contract APT PIN,% COVID Spending,% Other Spending,Sub Vendor,Sub Vendor M/WBE Category,Sub Contract Purpose,Subcontract Status,Sub Contract Industry,Sub Contract Current Amount,Sub Contract Original Amount,Sub Vendor Paid to Date,Sub Contract Start Date,Sub Contract End Date,Sub Contract Reference ID,Sub Woman Owned Business,Sub Emerging Business
CT185020248808306,Yes,Sub Vendor,GIANFIA CORP,Non-M/WBE,REHABILITATION OF STANDARD PEDESTRIAN RAMPS, $-   , $-   , $-   ,9/16/2024,9/15/2026,6/17/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,IOTB CONSTRUCTION,Construction Services,85024B0009001,,-,-,AMARACON TESTING & INSPECTIONS LLC,Women (Non-Minority),Compaction Testing & Plant Inspections,No Subcontract Payments Submitted,Construction Services,433000,433000,0,9/16/2024,9/15/2026,006,Yes,No 
CT185020248808306,Yes,Sub Vendor,GIANFIA CORP,Non-M/WBE,REHABILITATION OF STANDARD PEDESTRIAN RAMPS, $-   , $-   , $-   ,9/16/2024,9/15/2026,6/17/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,IOTB CONSTRUCTION,Construction Services,85024B0009001,,-,-,BOHEMIA GARDEN CENTER INC,Women (Non-Minority),Landscaping,No Subcontract Payments Submitted,Construction Services,18800,18800,0,9/16/2024,9/15/2026,005,Yes,No 
CT185020248808306,Yes,Sub Vendor,GIANFIA CORP,Non-M/WBE,REHABILITATION OF STANDARD PEDESTRIAN RAMPS, $-   , $-   , $-   ,9/16/2024,9/15/2026,6/17/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,IOTB CONSTRUCTION,Construction Services,85024B0009001,,-,-,Joes Pest Control,Hispanic American,Pest Control (Rodent & Waterbug),No Subcontract Payments Submitted,Construction Services,155000,155000,0,9/16/2024,9/15/2026,004,No ,No 
CT185020248808306,Yes,Sub Vendor,GIANFIA CORP,Non-M/WBE,REHABILITATION OF STANDARD PEDESTRIAN RAMPS, $-   , $-   , $-   ,9/16/2024,9/15/2026,6/17/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,IOTB CONSTRUCTION,Construction Services,85024B0009001,,-,-,ACCU-LINE CONTRACTING INC.,Non-M/WBE,"Removing, Furnishing, & Installing Traffic Signs & Posts",No Subcontract Payments Submitted,Construction Services,304734,304734,0,9/16/2024,9/15/2026,003,No ,No 
CT185020248808306,Yes,Sub Vendor,GIANFIA CORP,Non-M/WBE,REHABILITATION OF STANDARD PEDESTRIAN RAMPS, $-   , $-   , $-   ,9/16/2024,9/15/2026,6/17/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,IOTB CONSTRUCTION,Construction Services,85024B0009001,,-,-,Joey G's Memories Video Inc.,Women (Non-Minority),Preconstruction & Progress Photographs,No Subcontract Payments Submitted,Construction Services,28000,28000,0,9/16/2024,9/15/2026,001,Yes,No 
CT185020248808306,Yes,Sub Vendor,GIANFIA CORP,Non-M/WBE,REHABILITATION OF STANDARD PEDESTRIAN RAMPS, $-   , $-   , $-   ,9/16/2024,9/15/2026,6/17/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,IOTB CONSTRUCTION,Construction Services,85024B0009001,,-,-,RMI ROAD MARKINGS INC,Women (Non-Minority),Thermoplastic Pavement Markings & Color Surface Treatment for Pavements,No Subcontract Payments Submitted,Construction Services,68450,68450,0,9/16/2024,9/15/2026,002,Yes,No 
CT185020248808300,Yes,Prime Vendor,J ANTHONY ENTERPRISES INC,Non-M/WBE,Standard Ped Ramps - Bklyn & SI," $17,849,125.00 "," $17,849,125.00 "," $1,935,756.20 ",9/16/2024,9/15/2026,6/14/2024,No ,No ,Department of Design and Construction,1015622640,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,IOTB CONSTRUCTION,Construction Services,85024B0010001,,-,,-,-,-,-,-,0,0,0,-,-,-,No ,No 
CT185020248808300,Yes,Sub Vendor,J ANTHONY ENTERPRISES INC,Non-M/WBE,Standard Ped Ramps - Bklyn & SI, $-   , $-   , $-   ,9/16/2024,9/15/2026,6/14/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,IOTB CONSTRUCTION,Construction Services,85024B0010001,,-,-,LANDFORM L.L.C.,Non-M/WBE,Tree Consultant,No Subcontract Payments Submitted,Construction Services,70000,70000,0,1/2/2025,8/31/2026,013,No ,No 
CT185020248808300,Yes,Sub Vendor,J ANTHONY ENTERPRISES INC,Non-M/WBE,Standard Ped Ramps - Bklyn & SI, $-   , $-   , $-   ,9/16/2024,9/15/2026,6/14/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,IOTB CONSTRUCTION,Construction Services,85024B0010001,,-,-,SUPREME GROUP INC,Hispanic American,"Masonry, Permit Expediting, Excavating, Pavement Striping",No Subcontract Payments Submitted,Construction Services,2950000,2950000,0,9/16/2024,6/30/2026,005,Yes,No 
CT185020248808300,Yes,Sub Vendor,J ANTHONY ENTERPRISES INC,Non-M/WBE,Standard Ped Ramps - Bklyn & SI, $-   , $-   , $-   ,9/16/2024,9/15/2026,6/14/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,IOTB CONSTRUCTION,Construction Services,85024B0010001,,-,-,PDK COMMERCIAL PHOTOGRAPHERS LTD,Women (Non-Minority),Photographer,No Subcontract Payments Submitted,Construction Services,36000,36000,0,9/16/2024,6/30/2026,004,Yes,No 
CT185020248808300,Yes,Sub Vendor,J ANTHONY ENTERPRISES INC,Non-M/WBE,Standard Ped Ramps - Bklyn & SI, $-   , $-   , $-   ,9/16/2024,9/15/2026,6/14/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,IOTB CONSTRUCTION,Construction Services,85024B0010001,,-,-,Joes Pest Control,Hispanic American,Pest Control,No Subcontract Payments Submitted,Construction Services,175000,175000,0,9/16/2024,6/30/2026,002,No ,No 
CT185020248808300,Yes,Sub Vendor,J ANTHONY ENTERPRISES INC,Non-M/WBE,Standard Ped Ramps - Bklyn & SI, $-   , $-   , $-   ,9/16/2024,9/15/2026,6/14/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,IOTB CONSTRUCTION,Construction Services,85024B0010001,,-,-,JP ARBOR CONSULTING LLC,Women (Non-Minority),Tree Consultant,No Subcontract Payments Submitted,Construction Services,80000,80000,0,9/16/2024,6/30/2026,001,Yes,No 
CT185020248808215,Yes,Prime Vendor,RE-EARTH OF STROUDSBURG INC,Hispanic American,"Installation of Sidewalks, Adjacent Curbs & Pedestrian Ramps"," $4,324,964.49 "," $4,324,964.49 "," $851,438.51 ",10/14/2024,4/11/2026,6/5/2024,Yes,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0017002,,-,,-,-,-,-,-,0,0,0,-,-,-,No ,No 
CT185020248808215,Yes,Sub Vendor,RE-EARTH OF STROUDSBURG INC,Hispanic American,"Installation of Sidewalks, Adjacent Curbs & Pedestrian Ramps", $-   , $-   , $-   ,10/14/2024,4/11/2026,6/5/2024,Yes,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0017002,,-,-,JP ARBOR CONSULTING LLC,Women (Non-Minority),TREE CONSULTANT,No Subcontract Payments Submitted,Construction Services,7000,7000,0,10/15/2024,4/11/2026,001,Yes,No 
CT185020248808124,Yes,Prime Vendor,RE-EARTH OF STROUDSBURG INC,Hispanic American,"INSTALLATION OF SIDEWALKS, ADJACENT CURBS AND PEDESTRIAN RA"," $2,695,191.30 "," $2,695,191.30 "," $313,767.87 ",9/30/2024,3/29/2026,6/5/2024,Yes,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0021001,,-,,-,-,-,-,-,0,0,0,-,-,-,No ,No 
CT185020248808124,Yes,Sub Vendor,RE-EARTH OF STROUDSBURG INC,Hispanic American,"INSTALLATION OF SIDEWALKS, ADJACENT CURBS AND PEDESTRIAN RA", $-   , $-   , $-   ,9/30/2024,3/29/2026,6/5/2024,Yes,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0021001,,-,-,JP ARBOR CONSULTING LLC,Women (Non-Minority),TREE ONSULTANT,ACCO Reviewing Subcontract,Construction Services,42000,42000,0,11/11/2024,12/26/2025,001,Yes,No 
CT185020248807792,Yes,Prime Vendor,"POWER CONCRETE CO., INC.",Non-M/WBE,"INSTALLATION OF SIDEWALKS, ADJACENT CURBS AND PEDESTRIAN RAM"," $8,369,924.00 "," $8,369,924.00 ", $-   ,6/24/2024,12/21/2025,6/3/2024,No ,No ,Department of Design and Construction,1015537271,1,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0018001,,-,,-,-,-,-,-,0,0,0,-,-,-,No ,No 
CT185020248807792,Yes,Sub Vendor,"POWER CONCRETE CO., INC.",Non-M/WBE,"INSTALLATION OF SIDEWALKS, ADJACENT CURBS AND PEDESTRIAN RAM", $-   , $-   , $-   ,6/24/2024,12/21/2025,6/3/2024,No ,No ,Department of Design and Construction,,1,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0018001,,-,-,SP HAULER INCORPORATED,Asian American,Trucking and Dumping,No Subcontract Payments Submitted,Construction Services,710230.2,710230.2,0,6/24/2024,12/21/2025,008,Yes,No 
CT185020248807792,Yes,Sub Vendor,"POWER CONCRETE CO., INC.",Non-M/WBE,"INSTALLATION OF SIDEWALKS, ADJACENT CURBS AND PEDESTRIAN RAM", $-   , $-   , $-   ,6/24/2024,12/21/2025,6/3/2024,No ,No ,Department of Design and Construction,,1,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0018001,,-,-,LANDFORM L.L.C.,Non-M/WBE,Tree Consulting,No Subcontract Payments Submitted,Construction Services,17760,17760,0,6/24/2024,12/21/2025,004,No ,No 
CT185020248807792,Yes,Sub Vendor,"POWER CONCRETE CO., INC.",Non-M/WBE,"INSTALLATION OF SIDEWALKS, ADJACENT CURBS AND PEDESTRIAN RAM", $-   , $-   , $-   ,6/24/2024,12/21/2025,6/3/2024,No ,No ,Department of Design and Construction,,1,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0018001,,-,-,ZERO BELOW TRUCKING CORP,Black American,Crossing Guard,No Subcontract Payments Submitted,Construction Services,91755,91755,0,6/24/2024,12/21/2025,005,No ,No 
CT185020248807792,Yes,Sub Vendor,"POWER CONCRETE CO., INC.",Non-M/WBE,"INSTALLATION OF SIDEWALKS, ADJACENT CURBS AND PEDESTRIAN RAM", $-   , $-   , $-   ,6/24/2024,12/21/2025,6/3/2024,No ,No ,Department of Design and Construction,,1,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0018001,,-,-,DW Service Inc,Hispanic American,Trucking and Dumping,ACCO Reviewing Subcontract,Construction Services,473486.8,473486.8,0,6/24/2024,12/21/2025,006,No ,No 
CT185020248807792,Yes,Sub Vendor,"POWER CONCRETE CO., INC.",Non-M/WBE,"INSTALLATION OF SIDEWALKS, ADJACENT CURBS AND PEDESTRIAN RAM", $-   , $-   , $-   ,6/24/2024,12/21/2025,6/3/2024,No ,No ,Department of Design and Construction,,1,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0018001,,-,-,"NADINE PLAUT, CPA",Women (Non-Minority),Digital Photographs,No Subcontract Payments Submitted,Construction Services,63716,63716,0,6/24/2024,12/21/2025,007,Yes,No 
CT185020248807776,Yes,Prime Vendor,D&G Elite Construction,Women (Non-Minority),"INSTALLATION OF SIDEWALKS, ADJACENT CURBS AND PEDESTRIAN RA"," $9,892,202.25 "," $9,892,202.25 "," $593,009.90 ",9/9/2024,3/7/2026,5/28/2024,Yes,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0036001,,-,,-,-,-,-,-,0,0,0,-,-,-,No ,No 
CT185020248807776,Yes,Sub Vendor,D&G Elite Construction,Women (Non-Minority),"INSTALLATION OF SIDEWALKS, ADJACENT CURBS AND PEDESTRIAN RA", $-   , $-   , $-   ,9/9/2024,3/7/2026,5/28/2024,Yes,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0036001,,-,-,Justin Stuart,Non-M/WBE,Photography Services,No Subcontract Payments Submitted,Construction Services,13600,13600,0,11/4/2024,3/7/2026,004,No ,No 
CT185020248807776,Yes,Sub Vendor,D&G Elite Construction,Women (Non-Minority),"INSTALLATION OF SIDEWALKS, ADJACENT CURBS AND PEDESTRIAN RA", $-   , $-   , $-   ,9/9/2024,3/7/2026,5/28/2024,Yes,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0036001,,-,-,ADAM HAPPY TREE INC,Non-M/WBE,Tree Consultant Services,No Subcontract Payments Submitted,Construction Services,114100,114100,0,11/4/2024,3/7/2026,007,No ,No 
CT185020248807776,Yes,Sub Vendor,D&G Elite Construction,Women (Non-Minority),"INSTALLATION OF SIDEWALKS, ADJACENT CURBS AND PEDESTRIAN RA", $-   , $-   , $-   ,9/9/2024,3/7/2026,5/28/2024,Yes,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0036001,,-,-,TWIN PEAKS INC,Non-M/WBE,"Compaction, Plant Inspection & Material Testing",No Subcontract Payments Submitted,Construction Services,200000,200000,0,11/4/2024,3/7/2026,006,No ,No 
CT185020248807776,Yes,Sub Vendor,D&G Elite Construction,Women (Non-Minority),"INSTALLATION OF SIDEWALKS, ADJACENT CURBS AND PEDESTRIAN RA", $-   , $-   , $-   ,9/9/2024,3/7/2026,5/28/2024,Yes,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0036001,,-,-,Green Earth Land Improvement Inc,Black American,Crossing Guards,No Subcontract Payments Submitted,Construction Services,128864,128864,0,11/4/2024,3/7/2026,005,No ,No 
CT185020248807705,Yes,Prime Vendor,JRCRUZ CORP,Non-M/WBE,Installation Of Sidewalks," $4,577,339.43 "," $4,577,339.43 "," $740,766.18 ",9/30/2024,3/28/2026,5/30/2024,No ,No ,Department of Design and Construction,1015802509,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0023001,,-,,-,-,-,-,-,0,0,0,-,-,-,No ,No 
CT185020248807705,Yes,Sub Vendor,JRCRUZ CORP,Non-M/WBE,Installation Of Sidewalks, $-   , $-   , $-   ,9/30/2024,3/28/2026,5/30/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0023001,,-,-,KNR MANAGEMENT INC,Asian American,Replacement of curbs and sidewalks,ACCO Reviewing Subcontract,Construction Services,955455.66,955455.66,0,9/30/2024,3/28/2026,011,No ,No 
CT185020248807705,Yes,Sub Vendor,JRCRUZ CORP,Non-M/WBE,Installation Of Sidewalks, $-   , $-   , $-   ,9/30/2024,3/28/2026,5/30/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0023001,,-,-,KNR MANAGEMENT INC,Black American,Replacement of curbs and sidewalks,ACCO Reviewing Subcontract,Construction Services,955455.66,955455.66,0,9/30/2024,3/28/2026,011,No ,No 
CT185020248807705,Yes,Sub Vendor,JRCRUZ CORP,Non-M/WBE,Installation Of Sidewalks, $-   , $-   , $-   ,9/30/2024,3/28/2026,5/30/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0023001,,-,-,PDK COMMERCIAL PHOTOGRAPHERS LTD,Women (Non-Minority),Construction photography,ACCO Reviewing Subcontract,Construction Services,15000,15000,0,9/30/2024,3/28/2026,012,Yes,No 
CT185020248807705,Yes,Sub Vendor,JRCRUZ CORP,Non-M/WBE,Installation Of Sidewalks, $-   , $-   , $-   ,9/30/2024,3/28/2026,5/30/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0023001,,-,-,TWIN PEAKS INC,Non-M/WBE,Compaction testing,ACCO Reviewing Subcontract,Construction Services,15000,15000,0,9/30/2024,3/28/2026,005,No ,No 
CT185020248807705,Yes,Sub Vendor,JRCRUZ CORP,Non-M/WBE,Installation Of Sidewalks, $-   , $-   , $-   ,9/30/2024,3/28/2026,5/30/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0023001,,-,-,"C.FRANCIS CONSTRUCTION, CORP",Black American,Trucking and disposal,ACCO Reviewing Subcontract,Construction Services,300000,300000,0,9/30/2024,3/28/2026,003,No ,No 
CT185020248807705,Yes,Sub Vendor,JRCRUZ CORP,Non-M/WBE,Installation Of Sidewalks, $-   , $-   , $-   ,9/30/2024,3/28/2026,5/30/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0023001,,-,-,COUNTY TREE CARE INC.,Non-M/WBE,Tree pruning and removal,ACCO Reviewing Subcontract,Construction Services,15000,15000,0,9/30/2024,3/28/2026,009,No ,No 
CT185020248807705,Yes,Sub Vendor,JRCRUZ CORP,Non-M/WBE,Installation Of Sidewalks, $-   , $-   , $-   ,9/30/2024,3/28/2026,5/30/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0023001,,-,-,"MIRMAX ENGINEERING, PC",Hispanic American,Engineering Services - HASP,No Subcontract Payments Submitted,Construction Services,15000,15000,0,9/30/2024,3/28/2026,006,No ,No 
CT185020248807705,Yes,Sub Vendor,JRCRUZ CORP,Non-M/WBE,Installation Of Sidewalks, $-   , $-   , $-   ,9/30/2024,3/28/2026,5/30/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0023001,,-,-,JP ARBOR CONSULTING LLC,Women (Non-Minority),Tree consultant,ACCO Reviewing Subcontract,Construction Services,45000,45000,0,9/30/2024,3/28/2026,008,Yes,No 
CT185020248807705,Yes,Sub Vendor,JRCRUZ CORP,Non-M/WBE,Installation Of Sidewalks, $-   , $-   , $-   ,9/30/2024,3/28/2026,5/30/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0023001,,-,-,PROFESSIONAL TOUCH NYC LLC,Hispanic American,Janitorial cleaning and maintenance of field office,ACCO Reviewing Subcontract,Construction Services,12000,12000,0,9/30/2024,3/28/2026,007,Yes,No 
CT185020248807705,Yes,Sub Vendor,JRCRUZ CORP,Non-M/WBE,Installation Of Sidewalks, $-   , $-   , $-   ,9/30/2024,3/28/2026,5/30/2024,No ,No ,Department of Design and Construction,,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"IOTB CONSTRUCTION, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85024B0023001,,-,-,GNV INC,Women (Non-Minority),Supply and install fuel,ACCO Reviewing Subcontract,Construction Services,25000,25000,0,9/30/2024,3/28/2026,010,Yes,No 
CT185020248807682,No Data Entered,Prime Vendor,EN-TECH CORP,Women (Non-Minority),"Emergency Rehabilitation of Sanitary, Combined, Storm Sewers"," $14,276,250.00 "," $14,276,250.00 "," $3,563,024.47 ",7/1/2024,6/30/2025,6/5/2024,Yes,No ,Department of Design and Construction,,7,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"CONTRACTUAL SERVICES GENERAL, IOTB CONSTRUCTION",Construction Services,85024B0026001,,-,,-,-,-,-,-,0,0,0,-,-,-,No ,No 
CT185020248807381,Yes,Prime Vendor,NICHOLSON & GALLOWAY INC,Non-M/WBE,Bronx County Courthouse Exterior Rehabilitation," $64,517,895.00 "," $64,517,895.00 "," $6,096,744.41 ",6/3/2024,6/3/2026,6/22/2024,No ,No ,Department of Design and Construction,1015560778,1,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"CONSTRUCTION-BUILDINGS, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85023B0090001,,-,,-,-,-,-,-,0,0,0,-,-,-,No ,No 
CT185020248807381,Yes,Sub Vendor,NICHOLSON & GALLOWAY INC,Non-M/WBE,Bronx County Courthouse Exterior Rehabilitation, $-   , $-   , $-   ,6/3/2024,6/3/2026,6/22/2024,No ,No ,Department of Design and Construction,,1,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"CONSTRUCTION-BUILDINGS, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85023B0090001,,-,-,BEAM ENTERPRISES INC,Black American,Interior and Exterior Abatement,No Subcontract Payments Submitted,Construction Services,1281648,1281648,0,6/3/2024,6/3/2026,023,No ,No 
CT185020248807381,Yes,Sub Vendor,NICHOLSON & GALLOWAY INC,Non-M/WBE,Bronx County Courthouse Exterior Rehabilitation, $-   , $-   , $-   ,6/3/2024,6/3/2026,6/22/2024,No ,No ,Department of Design and Construction,,1,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"CONSTRUCTION-BUILDINGS, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85023B0090001,,-,-,BEAM ENTERPRISES INC,Black American,Interior and exterior abatement,ACCO Reviewing Subcontract,Construction Services,1281648,1281648,0,6/3/2024,6/3/2026,021,No ,No 
CT185020248807381,Yes,Sub Vendor,NICHOLSON & GALLOWAY INC,Non-M/WBE,Bronx County Courthouse Exterior Rehabilitation, $-   , $-   , $-   ,6/3/2024,6/3/2026,6/22/2024,No ,No ,Department of Design and Construction,,1,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"CONSTRUCTION-BUILDINGS, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85023B0090001,,-,-,Alpine Construction & Landscaping Corp,Non-M/WBE,Green Roof Installation at Main Roof,ACCO Reviewing Subcontract,Construction Services,470000,470000,0,6/3/2024,6/3/2026,025,No ,No 
CT185020248807381,Yes,Sub Vendor,NICHOLSON & GALLOWAY INC,Non-M/WBE,Bronx County Courthouse Exterior Rehabilitation, $-   , $-   , $-   ,6/3/2024,6/3/2026,6/22/2024,No ,No ,Department of Design and Construction,,1,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"CONSTRUCTION-BUILDINGS, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85023B0090001,,-,-,UNITED IRON INC.,Non-M/WBE,"Steel repairs, metal deck, ladders, stairs, flagpole repairs.",ACCO Reviewing Subcontract,Construction Services,886150,886150,0,6/3/2024,6/3/2026,024,No ,No 
CT185020248807381,Yes,Sub Vendor,NICHOLSON & GALLOWAY INC,Non-M/WBE,Bronx County Courthouse Exterior Rehabilitation, $-   , $-   , $-   ,6/3/2024,6/3/2026,6/22/2024,No ,No ,Department of Design and Construction,,1,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"CONSTRUCTION-BUILDINGS, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85023B0090001,,-,-,COMPETENT SAFETY LLC,Black American,Site Safety,No Subcontract Payments Submitted,Construction Services,30400,30400,0,6/3/2024,6/3/2026,022,No ,No 
CT185020248807381,Yes,Sub Vendor,NICHOLSON & GALLOWAY INC,Non-M/WBE,Bronx County Courthouse Exterior Rehabilitation, $-   , $-   , $-   ,6/3/2024,6/3/2026,6/22/2024,No ,No ,Department of Design and Construction,,1,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"CONSTRUCTION-BUILDINGS, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85023B0090001,,-,-,ROEBELL PAINTERS CO INC,Non-M/WBE,Interior paint and plaster repairs.,No Subcontract Payments Submitted,Construction Services,299500,299500,0,6/3/2024,6/3/2026,001,No ,No 
CT185020248807381,Yes,Sub Vendor,NICHOLSON & GALLOWAY INC,Non-M/WBE,Bronx County Courthouse Exterior Rehabilitation, $-   , $-   , $-   ,6/3/2024,6/3/2026,6/22/2024,No ,No ,Department of Design and Construction,,1,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,"CONSTRUCTION-BUILDINGS, POLLUTION REMEDIATION OBLIGATIONS",Construction Services,85023B0090001,,-,-,RIEHM CORPORATION,Non-M/WBE,"Demolish existing drains, and associated piping. Furnish and install new drains and associated piping with insulation.",No Subcontract Payments Submitted,Construction Services,420000,420000,0,6/3/2024,6/3/2026,007,No ,No 
